DISTRICT,1/06/2007,1/09/2007,1/12/2007,1/03/2008,1/06/2008,1/09/2008,1/12/2008,1/03/2009,1/06/2009,1/09/2009,1/12/2009,1/03/2010,1/06/2010,1/09/2010,1/12/2010,1/03/2011,1/06/2011,1/09/2011,1/12/2011,1/03/2012,1/06/2012,1/09/2012,1/12/2012,1/03/2013,1/06/2013,1/09/2013,1/12/2013,1/03/2014,1/06/2014,1/09/2014,1/12/2014,1/03/2015,1/06/2015,1/09/2015,1/12/2015,1/03/2016,1/06/2016,1/09/2016,1/12/2016,1/03/2017,1/06/2017
KAWERAU DISTRICT,769082,823664,808583,673502,796933,713245,710061,575963,726813,701071,675460,601070,636264,569840,609109,615233,600918,590180,601392,519639,582836,593741,593257,419886,497264,513901,565486,424558,491578,493152,507878,496079,560915,566543,597836,498445,606340,560154,621196,559355,604555
LOWER HUTT CITY,7518446,7871190,7805719,6837236,7379194,7229683,7303208,6397499,6868605,7243280,6949217,6342623,6699972,7096905,7093999,6500891,6954302,7063995,7032233,6456820,6763937,6680401,6847571,5794526,6556532,6460929,6432873,5996498,6226578,6335731,6400077,5746736,6159553,6573139,6333139,6091214,6516550,6625278,6803534,6400085,6781330
MACKENZIE DISTRICT,247949,218334,283260,269747,226467,181401,245669,287574,184008,152430,215549,213249,178284,156264,208698,240625,188343,148985,220994,259829,205106,188245,269959,298966,185920,196818,237247,244262,178722,203280,235663,235762,186037,179964,241316,257659,197932,179774,221530,244110,192433
MANAWATU DISTRICT,813492,809969,794171,748193,779044,791999,797918,747997,854802,873139,846523,780575,881442,936920,890770,824817,872840,890241,896014,800125,741954,771086,802987,669398,678685,692427,686706,654374,667313,684721,695241,650099,661231,670870,714039,610602,684666,741519,788450,709092,745758
MARLBOROUGH DISTRICT,2584946,2746932,2766057,2655716,2831169,2924983,2644076,2532642,2585828,2651168,2424168,2263625,2316104,2450508,2252598,2287677,2515734,2667855,2423920,2346653,2296155,2406132,2295582,2181859,2295037,2219590,2172859,2167260,2259082,2291620,2156149,2196479,2269194,2251406,2214347,2267145,2315499,2440299,2321295,2373405,2548979
MASTERTON DISTRICT,1093320,1107096,1145948,987016,1002031,1027562,1054832,989890,1009026,1036410,1026006,956696,953874,1029306,1077183,1051738,1041992,1075444,1055087,992692,1005675,1064012,1039759,927348,1003343,985140,1004905,911288,822461,877240,848994,858199,835183,841090,924082,831632,915903,986852,1054713,985159,924695
MATAMATA-PIAKO DISTRICT,1530182,1621218,1681379,1427642,1599750,1560697,1625017,1372295,1386622,1485942,1386633,1295929,1382597,1392170,1408538,1302953,1428895,1500414,1548928,1353719,1423844,1511538,1479536,1359954,1377592,1419995,1372014,1310812,1267085,1366284,1364673,1258378,1309849,1357122,1320499,1254037,1378519,1515972,1523743,1375935,1442633
NAPIER CITY,4733664,4864597,4781167,4190494,4458161,4381381,4579052,4260207,4426817,4488357,4440846,4112940,4277232,4206748,4277970,4097276,4424830,4397539,4334758,3993888,4143106,4171419,4160823,3769542,3904246,3762921,3849421,3709440,3836652,3992273,4026138,3708214,3971806,4237654,4342130,4074594,4353556,4411880,4410629,4341154,4757383
NELSON CITY,2591005,2603698,2526720,2458057,2649221,2658606,2595815,2430413,2516232,2578912,2419703,2387706,2511631,2504091,2466668,2504482,2620824,2740460,2748739,2460350,2387168,2527199,2538450,2356987,2485374,2541101,2499489,2299978,2355412,2395695,2236107,2230736,2317331,2316149,2335995,2256218,2277626,2092671,2384141,2418277,2577975
NEW PLYMOUTH DISTRICT,4075195,4199520,4066296,4006328,4383307,4563069,4533401,4037524,4196142,4206762,4179004,3802763,4034895,3998497,4053094,3937766,4122256,4104299,4147791,3953703,4083508,4130159,4106197,3705392,3854778,4053371,4162440,3818859,3958760,4132489,4191060,3701932,3918759,4142600,3913054,3662782,4086277,4030115,4116005,3678218,3945208
OPOTIKI DISTRICT,654686,648237,610595,576109,603356,559217,551028,563883,647057,624549,559684,576803,626008,667500,630042,625800,649934,661596,669673,592415,658567,648106,674172,595326,663841,694567,683398,690224,686406,698398,733457,642663,697932,669998,663358,616904,779973,725049,689334,603039,696807
OTOROHANGA DISTRICT,407224,377186,364660,330472,358184,353666,371912,292288,276119,276219,286800,325269,316217,323309,318483,228954,238908,222288,245914,222640,254411,243720,259257,256837,222106,208904,196367,214281,214481,216958,224120,202683,208415,210213,196164,218742,214658,218568,236936,215544,242766
PALMERSTON NORTH CITY,4545432,4732810,4751646,4099210,4549396,4608383,4665303,4303730,4449866,4539629,4516927,4069170,4338513,4632130,4510587,4258144,4467544,4417288,4329147,4087492,4211057,4355445,4153591,3851354,4093199,4085678,4181181,3626087,3786425,4264421,4371592,3945465,4346138,4546504,4528042,4261055,4815017,4704323,4705209,4551203,4493029
PORIRUA CITY,3416458,3469573,3539475,3014442,3368728,3435692,3349640,2970244,3102569,3272175,3249422,2844415,3065261,2818456,3008035,2951111,3258240,3186748,3229310,2811844,3011723,3201968,3245820,2793622,2951319,2973474,3128994,2639747,2706335,2876890,2826820,2539123,2845512,3058129,2920501,2636486,2785626,2931715,2989657,2853444,2963138
QUEENSTOWN-LAKES DISTRICT,824149,794958,823056,717058,774960,803276,788080,858755,784876,724039,753432,797833,672196,680427,659577,717204,659048,646347,695721,722150,634766,659706,688475,742307,662343,674303,710093,786810,666236,694764,697355,805845,750927,817428,837344,902376,826471,804390,854575,815769,785191
RANGITIKEI DISTRICT,916466,908094,913901,867200,869333,787441,823234,782445,776603,759405,767874,701575,722632,778340,778500,712607,774441,754132,742580,714070,723665,690719,691844,646154,639901,647194,689851,619157,631365,636226,686480,609185,694394,704086,701227,639242,641377,656913,668150,616861,652658
ROTORUA DISTRICT,6338582,6484218,6373317,5574349,5924477,5947363,5730488,4997101,5454641,5440825,5408520,5090622,5483132,5759285,5662152,5229449,5614588,5571034,5653038,5086431,5109395,5309099,5435647,4725498,5229774,5090879,5148532,4744670,4906877,5061935,5052032,4529971,4882467,5175129,5219774,4825620,5509095,5699433,5856858,5144246,5441967
RUAPEHU DISTRICT,731511,792095,784538,696312,711115,760549,735996,646722,716364,766563,711641,655928,714440,692802,668296,537683,650559,706856,687156,619383,652838,660696,733191,664505,640829,707581,663242,635592,637579,638639,639540,595169,613329,628020,578086,563168,615793,694015,661703,681206,680943
